month,minute,Glob irrad,Def_irrad,Temp,RH,Rain Fall,WD,WS
12,1520,116,69,2,72,0.02,169.7,2.9
12,1525,108,65,1.9,72,0.01,164.8,2.9
12,1530,101,60,1.9,72,0.01,165.9,2.9
12,1535,100,60,1.9,72.5,0,152.3,2.9
12,1540,99,59,1.9,72.6,0.01,165.4,3
12,1545,84,52,1.8,72.7,0.01,163.3,3
12,1550,82,49,1.8,72.8,0,174.6,3
12,1555,80,49,1.8,73,0,173.6,3.1
12,1600,72,47,1.7,73.1,0,174.7,2.9
12,1605,65,44,1.7,73.3,0.01,152,3
12,1610,59,41,1.5,73.7,0,153.9,3
12,1615,49,36,1.5,74,0,153.4,3
12,1620,41,31,1.4,74.5,0,151.4,2.9
12,1625,33,26,1.3,75,0,153.7,2.9
12,1630,27,23,1.2,75.4,0,157.3,2.7
12,1635,22,19,1.1,75.8,0.01,159.8,2.8
12,1640,16,15,1,75.9,0.01,160.4,2.8
12,1645,12,12,0.9,76.1,0.01,161.1,2.8
12,1650,8,9,0.8,76.3,0,159.5,2.8
12,1655,5,6,0.7,76.7,0.02,157.5,2.9
12,1700,3,4,0.6,77,0.01,161,2.8
12,1705,2,3,0.5,77.2,0,164.3,2.8
12,1710,1,2,0.3,77.4,0.01,153.6,2.9
12,1715,1,1,0.2,77.8,0,167.8,2.9
12,1720,0,0,0.2,78.1,0,168.4,2.8
12,1725,0,0,0,78.6,0.01,167.8,2.8
12,1730,0,0,-0.1,79.2,0,165.9,2.6
12,1735,0,0,-0.3,79.8,0,172.6,2.6
12,1740,0,0,-0.4,80.2,0.01,171.5,2.6
12,1745,0,0,-0.5,80.4,0.01,175.9,2.6
12,1750,0,0,-0.5,80.5,0.01,185.2,2.6
12,1755,0,0,-0.6,80.6,0.02,182.5,2.7
12,1800,0,0,-0.7,80.7,0.01,178.1,2.8
12,1805,0,0,-0.7,81,0.01,169.8,2.7
12,1810,0,0,-0.8,81,0.01,169.5,2.6
12,1815,0,0,-0.8,81.3,0.01,170.9,2.6
12,1820,0,0,-0.9,81.3,0,162.7,2.7
12,1825,0,0,-0.9,81.5,0.01,163.1,2.8
12,1830,0,0,-1,81.4,0,171.3,2.9
12,1835,0,0,-1.1,81.3,0.01,162.8,2.8
12,1840,0,0,-1.2,81.6,0,172,2.8
12,1845,0,0,-1.2,81.6,0,170.4,2.7
12,1850,0,0,-1.3,81.7,0,161.6,2.6
12,1855,0,0,-1.3,82,0,170.2,2.7
12,1900,0,0,-1.4,82.3,0,182,2.6
12,1905,0,0,-1.4,82.4,0,174.6,2.7
12,1910,0,0,-1.4,82.6,0,198.2,2.5
12,1915,0,0,-1.5,82.6,0,191.8,2.5
12,1920,0,0,-1.5,82.8,0,190.4,2.5
12,1925,0,0,-1.6,82.7,0,191.7,2.5
12,1930,0,0,-1.6,82.8,0,192.2,2.6
12,1935,0,0,-1.6,82.8,0,169.9,2.6
12,1940,0,0,-1.6,83.1,0,212.4,2.5
12,1945,0,0,-1.7,83.3,0,186.1,2.6
12,1950,0,0,-1.7,83.3,0,185.1,2.7
12,1955,0,0,-1.8,83.5,0.01,193.7,2.6
12,2000,0,0,-1.8,83.7,0,196.3,2.6
12,2005,0,0,-1.8,83.7,0,187.8,2.5
12,2010,0,0,-1.9,83.7,0,182.7,2.6
12,2015,0,0,-1.9,83.8,0,195.8,2.6
12,2020,0,0,-1.9,84,0,178.6,2.4
12,2025,0,0,-2.1,84.2,0,215.4,2.4
12,2030,0,0,-2.1,84.6,0,214.9,2.4
12,2035,0,0,-2.1,84.7,0,193.4,2.4
12,2040,0,0,-2.1,84.5,0,207.5,2.5
12,2045,0,0,-2.2,84.4,0.01,195.1,2.5
12,2050,0,0,-2.2,84.5,0,213.7,2.4
12,2055,0,0,-2.3,84.5,0,199.1,2.4
12,2100,0,0,-2.2,84.4,0,189.4,2.5
12,2105,0,0,-2.3,84.3,0,212.5,2.6
12,2110,0,0,-2.3,84.3,0.01,223.1,2.5
12,2115,0,0,-2.4,84.1,0,169,2.6
12,2120,0,0,-2.4,84.1,0,192.7,2.7
12,2125,0,0,-2.5,84.3,0,203.4,2.5
12,2130,0,0,-2.5,84.2,0,190.2,2.6
12,2135,0,0,-2.6,84.2,0,176.1,2.6
12,2140,0,0,-2.7,84.4,0.01,173.7,2.6
12,2145,0,0,-2.7,84.5,0,172.1,2.7
12,2150,0,0,-2.7,84.5,0,181.7,2.7
12,2155,0,0,-2.7,84.4,0,192.2,2.6
12,2200,0,0,-2.7,84.3,0,194.7,2.7
12,2205,0,0,-2.7,84.3,0,199.3,2.8
12,2210,0,0,-2.7,84.4,0.01,203.4,2.7
12,2215,0,0,-2.8,84.3,0,185.1,2.7
12,2220,0,0,-2.8,84.4,0,193.6,2.6
12,2225,0,0,-2.8,84.4,0,208.8,2.7
12,2230,0,0,-2.9,84.4,0.01,205.2,2.6
12,2235,0,0,-2.9,84.8,0,188.9,2.6
12,2240,0,0,-2.8,84.6,0,178,2.7
12,2245,0,0,-2.9,84.5,0,165,2.6
12,2250,0,0,-2.8,84.6,0,179.8,2.7
12,2255,0,0,-3,84.7,0,186.7,2.6
12,2300,0,0,-3,84.7,0,179.7,2.6
12,2305,0,0,-3,84.8,0,206.7,2.6
12,2310,0,0,-3,84.7,0,175.6,2.6
12,2315,0,0,-3,84.8,0,199.1,2.5
12,2320,0,0,-3,85,0,177.3,2.3
12,2325,0,0,-3,85,0,206.2,2.4
12,2330,0,0,-3,85.1,0,203.7,2.3
12,2335,0,0,-3,85,0,191.2,2.2
12,2340,0,0,-3.1,85.1,0,203.7,2.1
12,2345,0,0,-3.2,85,0,212.3,2.3
12,2350,0,0,-3.2,85,0,200.8,2.4
12,2355,0,0,-3.3,84.4,0,200.2,2.4
12,2400,0,0,-3.2,84.9,0,201.8,2.2
1,5,0,0,-5.7,88.2,0,161.2,2.6
1,10,0,0,-5.7,88.1,0,149.1,2.6
1,15,0,0,-5.7,88.2,0,143.8,2.4
1,20,0,0,-5.7,88.2,0,135.8,2.4
1,25,0,0,-5.7,88.3,0,151.2,2.4
1,30,0,0,-5.7,88.3,0,146.5,2.5
1,35,0,0,-5.7,88.3,0,152.3,2.5
1,40,0,0,-5.7,88.4,0,172.5,2.4
1,45,0,0,-5.7,88.5,0,186.4,2.6
1,50,0,0,-5.7,88.5,0,194.5,2.6
1,55,0,0,-5.7,88.5,0,177.2,2.6
1,100,0,0,-5.6,88.5,0,137.2,2.6
1,105,0,0,-5.6,88.5,0,172.7,2.7
1,110,0,0,-5.6,88.4,0,149.8,2.7
1,115,0,0,-5.6,88.4,0,174.8,2.7
1,120,0,0,-5.6,88.4,0,162.3,2.7
1,125,0,0,-5.7,88.3,0,137.5,2.8
1,130,0,0,-5.7,88.4,0,152.3,2.8
1,135,0,0,-5.8,88.3,0,164.2,2.8
1,140,0,0,-5.8,88.5,0,192,2.7
1,145,0,0,-5.8,88.5,0,178.1,2.6
1,150,0,0,-5.9,88.4,0,193.3,2.6
1,155,0,0,-5.9,88.4,0,193.5,2.6
1,200,0,0,-6.1,88.4,0.01,166.3,2.6
1,205,0,0,-6.1,88.3,0,174,2.7
1,210,0,0,-6.1,88.2,0,167.3,2.7
1,215,0,0,-6.2,88.3,0,169.7,2.7
1,220,0,0,-6.2,88.1,0,156.1,2.7
1,225,0,0,-6.2,88.3,0.01,151.2,2.7
1,230,0,0,-6.2,88.3,0,195.4,2.6
1,235,0,0,-6.3,88.2,0,198.6,2.6
1,240,0,0,-6.3,88.2,0,194.7,2.7
1,245,0,0,-6.4,88.2,0,203.6,2.6
1,250,0,0,-6.4,88.1,0,169.5,2.6
1,255,0,0,-6.4,88.1,0.01,188.8,2.6
1,300,0,0,-6.4,88,0,180,2.6
1,305,0,0,-6.4,87.9,0,175.4,2.6
1,310,0,0,-6.4,87.9,0,160.8,2.6
1,315,0,0,-6.5,88,0,182.7,2.6
1,320,0,0,-6.5,87.9,0,163.3,2.6
1,325,0,0,-6.5,88,0,181.7,2.6
1,330,0,0,-6.4,88.1,0,159.7,2.7
1,335,0,0,-6.4,87.9,0,159.7,2.7
1,340,0,0,-6.4,87.9,0,160.7,2.8
1,345,0,0,-6.4,87.9,0,158.6,2.7
1,350,0,0,-5.9,88,0.01,142.2,2.6
1,355,0,0,-6.4,87.9,0,147.9,2.5
1,400,0,0,-6.4,87.9,0.01,135.8,2.5
1,405,0,0,-6.4,88,0.01,132.8,2.5
1,410,0,0,-6.4,88.2,0,166.1,2.6
1,415,0,0,-6.4,88.2,0.01,155.6,2.7
1,420,0,0,-6.3,88.1,0,155.3,2.6
1,425,0,0,-6.4,88,0,145.6,2.5
1,430,0,0,-6.3,88.1,0.01,136.7,2.4
1,435,0,0,-6.5,88.2,0,171.8,2.5
1,440,0,0,-6.4,88.1,0,150.1,2.4
1,445,0,0,-6.5,88,0,156.8,2.4
